# Force coefficients
# liftDir    : (0.000000e+00 0.000000e+00 0.000000e+00)
# dragDir    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis  : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf    : 2.000000e-05
# lRef       : 5.000000e-01
# Aref       : 5.000000e-02
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time       	Cm           	Cd           	Cl           	Cl(f)        	Cl(r)        
0.5          	-4.282612e+00	4.811448e+09	0.000000e+00	-4.282612e+00	4.282612e+00
1            	-1.981011e+03	3.557323e+09	0.000000e+00	-1.981011e+03	1.981011e+03
1.5          	-4.239079e+03	-2.714381e+08	0.000000e+00	-4.239079e+03	4.239079e+03
2            	-6.066800e+03	-2.453240e+09	0.000000e+00	-6.066800e+03	6.066800e+03
2.5          	-6.668339e+03	-1.564218e+09	0.000000e+00	-6.668339e+03	6.668339e+03
3            	-5.778102e+03	5.752889e+08	0.000000e+00	-5.778102e+03	5.778102e+03
3.5          	-4.080941e+03	1.586840e+09	0.000000e+00	-4.080941e+03	4.080941e+03
4            	-2.529191e+03	8.908780e+08	0.000000e+00	-2.529191e+03	2.529191e+03
4.5          	-1.511371e+03	-3.333106e+08	0.000000e+00	-1.511371e+03	1.511371e+03
5            	-7.334307e+02	-7.923184e+08	0.000000e+00	-7.334307e+02	7.334307e+02
5.5          	2.990781e+02	-3.084979e+08	0.000000e+00	2.990781e+02	-2.990781e+02
6            	1.724890e+03	3.689859e+08	0.000000e+00	1.724890e+03	-1.724890e+03
6.5          	3.250702e+03	5.489954e+08	0.000000e+00	3.250702e+03	-3.250702e+03
7            	4.517252e+03	2.193752e+08	0.000000e+00	4.517252e+03	-4.517252e+03
7.5          	5.426600e+03	-1.560635e+08	0.000000e+00	5.426600e+03	-5.426600e+03
8            	6.141759e+03	-2.167932e+08	0.000000e+00	6.141759e+03	-6.141759e+03
8.5          	6.856759e+03	-7.181243e+06	0.000000e+00	6.856759e+03	-6.856759e+03
9            	7.608027e+03	1.919274e+08	0.000000e+00	7.608027e+03	-7.608027e+03
9.5          	8.290978e+03	1.977529e+08	0.000000e+00	8.290978e+03	-8.290978e+03
10           	8.804319e+03	6.430414e+07	0.000000e+00	8.804319e+03	-8.804319e+03
10.5         	9.148456e+03	-4.203041e+07	0.000000e+00	9.148456e+03	-9.148456e+03
11           	9.401469e+03	-3.207635e+07	0.000000e+00	9.401469e+03	-9.401469e+03
11.5         	9.630626e+03	4.753661e+07	0.000000e+00	9.630626e+03	-9.630626e+03
12           	9.840847e+03	1.001669e+08	0.000000e+00	9.840847e+03	-9.840847e+03
12.5         	9.995825e+03	8.453708e+07	0.000000e+00	9.995825e+03	-9.995825e+03
13           	1.007081e+04	3.573185e+07	0.000000e+00	1.007081e+04	-1.007081e+04
13.5         	1.007798e+04	8.727847e+06	0.000000e+00	1.007798e+04	-1.007798e+04
14           	1.004969e+04	2.110895e+07	0.000000e+00	1.004969e+04	-1.004969e+04
14.5         	1.000757e+04	4.841255e+07	0.000000e+00	1.000757e+04	-1.000757e+04
15           	9.950486e+03	5.997898e+07	0.000000e+00	9.950486e+03	-9.950486e+03
15.5         	9.866663e+03	4.938090e+07	0.000000e+00	9.866663e+03	-9.866663e+03
